상가업소번호,가게명,원래이름,리뷰,리뷰날짜,제거리뷰,review_tfidf,keyword
20592276,깡통만두,깡통만두,"만두가 옛날 집에서 빚은 딱 그 맛이어서, 좋았다.칼만두국을 먹었는데 사골베이스에 조금 슴슴한 편인데 맛이 꽤 훌륭하다. 면발은 하늘하늘 부드러운 편이다.테이블 간격이 좁고 서버 이모님들이 살짝 불친절한 편이라 온전히 유명세의 맛경험을 하기엔 다소 아쉬움이 있다.",2023-3-9,만두가 옛날 집에서 빚은 딱 그 맛이어서 좋았다칼만두국을 먹었는데 사골베이스에 조금 슴슴한 편인데 맛이 꽤 훌륭하다 면발은 하늘하늘 부드러운 편이다테이블 간격이 좁고 서버 이모님들이 살짝 불친절한 편이라 온전히 유명세의 맛경험을 하기엔 다소 아쉬움이 있다,"['간격이' '간격이 좁고' '다소' '다소 아쉬움이' '만두가' '만두가 옛날' '맛경험을' '맛경험을 하기엔' '맛이'
 '맛이 훌륭하다' '맛이어서' '맛이어서 좋았다칼만두국을' '먹었는데' '먹었는데 사골베이스에' '면발은' '면발은 하늘하늘'
 '부드러운' '부드러운 편이다테이블' '불친절한' '불친절한 편이라' '빚은' '빚은 맛이어서' '사골베이스에'
 '사골베이스에 조금' '살짝' '살짝 불친절한' '서버' '서버 이모님들이' '슴슴한' '슴슴한 편인데' '아쉬움이'
 '아쉬움이 있다' '옛날' '옛날 집에서' '온전히' '온전히 유명세의' '유명세의' '유명세의 맛경험을' '이모님들이'
 '이모님들이 살짝' '있다' '조금' '조금 슴슴한' '좁고' '좁고 서버' '좋았다칼만두국을' '좋았다칼만두국을 먹었는데'
 '집에서' '집에서 빚은' '편이다테이블' '편이다테이블 간격이' '편이라' '편이라 온전히' '편인데' '편인데 맛이' '하기엔'
 '하기엔 다소' '하늘하늘' '하늘하늘 부드러운' '훌륭하다' '훌륭하다 면발은']","['유명세의 맛경험을', '빚은 맛이어서', '하늘하늘 부드러운', '맛이 훌륭하다', '부드러운 편이다테이블']"
20592276,깡통만두,깡통만두,주말에 방문하면 웨이팅이 깁니다. 한시간정도 대기하면 드실 수 있어요. 만두가 깔끔하고 맛있네요. 테이블 간 간격이 좁아서 후다닥 먹고 나왔네요 .,2023-2-19,주말에 방문하면 웨이팅이 깁니다 한시간정도 대기하면 드실 수 있어요 만두가 깔끔하고 맛있네요 테이블 간 간격이 좁아서 후다닥 먹고 나왔네요 ,"['간격이' '간격이 좁아서' '깁니다' '깁니다 한시간정도' '깔끔하고' '깔끔하고 맛있네요' '나왔네요' '대기하면'
 '대기하면 드실' '드실' '드실 있어요' '만두가' '만두가 깔끔하고' '맛있네요' '맛있네요 테이블' '먹고' '먹고 나왔네요'
 '방문하면' '방문하면 웨이팅이' '웨이팅이' '웨이팅이 깁니다' '있어요' '있어요 만두가' '좁아서' '좁아서 후다닥'
 '주말에' '주말에 방문하면' '테이블' '테이블 간격이' '한시간정도' '한시간정도 대기하면' '후다닥' '후다닥 먹고']","['깔끔하고 맛있네요', '주말에 방문하면', '테이블', '테이블 간격이', '맛있네요 테이블']"
20592276,깡통만두,깡통만두,"직접 빚은 만두와 직접 뽑은 생면이 있는 안국역 수요미식회 맛집 깡통만두! 만두전골을 시키면 고기만두, 해물만두 두 종류를 주는데 맛있고 해물만두는 새우한마리가 통으로 들어있다! 칼국수 사리도 포함되어 있는데 직접 뽑은 면이라 그런지 쫄깃하니 맛있당",2022-8-9,직접 빚은 만두와 직접 뽑은 생면이 있는 안국역 수요미식회 맛집 깡통만두 만두전골을 시키면 고기만두 해물만두 두 종류를 주는데 맛있고 해물만두는 새우한마리가 통으로 들어있다 칼국수 사리도 포함되어 있는데 직접 뽑은 면이라 그런지 쫄깃하니 맛있당,"['고기만두' '고기만두 해물만두' '그런지' '그런지 쫄깃하니' '깡통만두' '깡통만두 만두전골을' '들어있다' '들어있다 칼국수'
 '만두와' '만두와 직접' '만두전골을' '만두전골을 시키면' '맛있고' '맛있고 해물만두는' '맛있당' '맛집' '맛집 깡통만두'
 '면이라' '면이라 그런지' '빚은' '빚은 만두와' '뽑은' '뽑은 면이라' '뽑은 생면이' '사리도' '사리도 포함되어'
 '새우한마리가' '새우한마리가 통으로' '생면이' '생면이 있는' '수요미식회' '수요미식회 맛집' '시키면' '시키면 고기만두'
 '안국역' '안국역 수요미식회' '있는' '있는 안국역' '있는데' '있는데 직접' '종류를' '종류를 주는데' '주는데'
 '주는데 맛있고' '직접' '직접 빚은' '직접 뽑은' '쫄깃하니' '쫄깃하니 맛있당' '칼국수' '칼국수 사리도' '통으로'
 '통으로 들어있다' '포함되어' '포함되어 있는데' '해물만두' '해물만두 종류를' '해물만두는' '해물만두는 새우한마리가']","['해물만두 종류를', '새우한마리가 통으로', '시키면 고기만두', '맛있고 해물만두는', '고기만두 해물만두']"
20592276,깡통만두,깡통만두,"칼만두와 비빔국수만으로도 웨이팅의 가치가 있는 곳. 11시30분부터 영업 시작이지만, 11시부터 가게앞 웨이팅기계로 줄서기가 가능하다. (날에 따라 테이블링 앱으로도 가능하나, 주말엔 불가했음)들어가는 재료 하나하나 조화와 맛을 신경썼다. 특히 비빔국수에 얹은 얇게 채썬 육전과 한번 절여서 꼬들하게 만든 오이, 새콤한 열무의 궁합이란… 쫄깃하고 새콤한 면발과 최고의 조합이다.칼만두는 매콤새콤한 비빔국수와 찰떡궁합이다. 진한 사골육수에 감칠맛나는 고기고명, 그리고 빼놓을 수 없는 만두까지! 시중의 질척하고 뭐가 섞였는지 알 수 없는 소를 넣은 만두가 아니라, 물기도 적당하고 재료간 밸런스가 좋은 소를 꽉꽉 담은 정말 맛있는 만두였다!나중에는 꼭 만두전골을 먹어봐야겠다.",2022-6-26,칼만두와 비빔국수만으로도 웨이팅의 가치가 있는 곳 11시30분부터 영업 시작이지만 11시부터 가게앞 웨이팅기계로 줄서기가 가능하다 날에 따라 테이블링 앱으로도 가능하나 주말엔 불가했음들어가는 재료 하나하나 조화와 맛을 신경썼다 특히 비빔국수에 얹은 얇게 채썬 육전과 한번 절여서 꼬들하게 만든 오이 새콤한 열무의 궁합이란 쫄깃하고 새콤한 면발과 최고의 조합이다칼만두는 매콤새콤한 비빔국수와 찰떡궁합이다 진한 사골육수에 감칠맛나는 고기고명 그리고 빼놓을 수 없는 만두까지 시중의 질척하고 뭐가 섞였는지 알 수 없는 소를 넣은 만두가 아니라 물기도 적당하고 재료간 밸런스가 좋은 소를 꽉꽉 담은 정말 맛있는 만두였다나중에는 꼭 만두전골을 먹어봐야겠다,"['11시30분부터' '11시30분부터 영업' '11시부터' '11시부터 가게앞' '가게앞' '가게앞 웨이팅기계로' '가능하나'
 '가능하나 주말엔' '가능하다' '가능하다 날에' '가치가' '가치가 있는' '감칠맛나는' '감칠맛나는 고기고명' '고기고명'
 '고기고명 그리고' '궁합이란' '궁합이란 쫄깃하고' '그리고' '그리고 빼놓을' '꼬들하게' '꼬들하게 만든' '꽉꽉'
 '꽉꽉 담은' '날에' '날에 따라' '넣은' '넣은 만두가' '담은' '담은 정말' '따라' '따라 테이블링' '만두가'
 '만두가 아니라' '만두까지' '만두까지 시중의' '만두였다나중에는' '만두였다나중에는 만두전골을' '만두전골을'
 '만두전골을 먹어봐야겠다' '만든' '만든 오이' '맛을' '맛을 신경썼다' '맛있는' '맛있는 만두였다나중에는' '매콤새콤한'
 '매콤새콤한 비빔국수와' '먹어봐야겠다' '면발과' '면발과 최고의' '물기도' '물기도 적당하고' '뭐가' '뭐가 섞였는지'
 '밸런스가' '밸런스가 좋은' '불가했음들어가는' '불가했음들어가는 재료' '비빔국수만으로도' '비빔국수만으로도 웨이팅의'
 '비빔국수에' '비빔국수에 얹은' '비빔국수와' '비빔국수와 찰떡궁합이다' '빼놓을' '빼놓을 없는' '사골육수에'
 '사골육수에 감칠맛나는' '새콤한' '새콤한 면발과' '새콤한 열무의' '섞였는지' '섞였는지 없는' '소를' '소를 꽉꽉'
 '소를 넣은' '시작이지만' '시작이지만 11시부터' '시중의' '시중의 질척하고' '신경썼다' '신경썼다 특히' '아니라'
 '아니라 물기도' '앱으로도' '앱으로도 가능하나' '얇게' '얇게 채썬' '얹은' '얹은 얇게' '없는' '없는 만두까지'
 '없는 소를' '열무의' '열무의 궁합이란' '영업' '영업 시작이지만' '오이' '오이 새콤한' '웨이팅기계로'
 '웨이팅기계로 줄서기가' '웨이팅의' '웨이팅의 가치가' '육전과' '육전과 한번' '있는' '있는 11시30분부터' '재료'
 '재료 하나하나' '재료간' '재료간 밸런스가' '적당하고' '적당하고 재료간' '절여서' '절여서 꼬들하게' '정말'
 '정말 맛있는' '조합이다칼만두는' '조합이다칼만두는 매콤새콤한' '조화와' '조화와 맛을' '좋은' '좋은 소를' '주말엔'
 '주말엔 불가했음들어가는' '줄서기가' '줄서기가 가능하다' '진한' '진한 사골육수에' '질척하고' '질척하고 뭐가' '쫄깃하고'
 '쫄깃하고 새콤한' '찰떡궁합이다' '찰떡궁합이다 진한' '채썬' '채썬 육전과' '최고의' '최고의 조합이다칼만두는' '칼만두와'
 '칼만두와 비빔국수만으로도' '테이블링' '테이블링 앱으로도' '특히' '특히 비빔국수에' '하나하나' '하나하나 조화와' '한번'
 '한번 절여서']","['앱으로도', '정말 맛있는', '11시30분부터 영업', '앱으로도 가능하나', '테이블링 앱으로도']"
20592276,깡통만두,깡통만두,"오래전엔 이태원쪽에 있었는데, 안국으로 이전하고는 처음 방문했어요.대기 줄이 어마어마 하더라고요.2:30분쯤 재 방문해서 대기 없이 먹었어요.여전히 맛있네요 ??",2022-11-29,오래전엔 이태원쪽에 있었는데 안국으로 이전하고는 처음 방문했어요대기 줄이 어마어마 하더라고요230분쯤 재 방문해서 대기 없이 먹었어요여전히 맛있네요 ,"['대기' '대기 없이' '맛있네요' '먹었어요여전히' '먹었어요여전히 맛있네요' '방문해서' '방문해서 대기' '방문했어요대기'
 '방문했어요대기 줄이' '안국으로' '안국으로 이전하고는' '어마어마' '어마어마 하더라고요230분쯤' '없이'
 '없이 먹었어요여전히' '오래전엔' '오래전엔 이태원쪽에' '이전하고는' '이전하고는 처음' '이태원쪽에' '이태원쪽에 있었는데'
 '있었는데' '있었는데 안국으로' '줄이' '줄이 어마어마' '처음' '처음 방문했어요대기' '하더라고요230분쯤'
 '하더라고요230분쯤 방문해서']","['처음 방문했어요대기', '먹었어요여전히 맛있네요', '어마어마 하더라고요230분쯤', '하더라고요230분쯤', '하더라고요230분쯤 방문해서']"
20592276,깡통만두,깡통만두,"북촌에 지인 결혼식에 참석하고 한옥마을 구경하고 이쁜 카페들과 가게들 둘러봤네요. 출출해진 배를 채울 시간이 되었는데 오후가 되니 날이 쌀쌀해져서 뜨끈한 국물이 땡겨 찾은곳 깡통만두 입니다. 이미 맛집으로 유명한 곳이라 대기 36팀 걸리네요. 장장 1시간 30분을 기다리고 먹을 수 있었는데 저희가 대기하는 중 만두가 소진되더라구요. 다행히 저희는 만두를 먹을 수 있었습니다.만두국 완전 맛있어요. 사골 국물과 만두, 별게 들어가지 않았지만 조화가 너무 좋아요. 만두가 메인인지라 손만두집 중 단연 베스트 3에 들어갈 정도로 담백하고 소도 꽉 차있어 식감도 좋고 간도 잘 맞고 공장만두 특유의 맛이 나지 않는 진짜 손만두 그 자체입니다. 비빔국수는 기대를 많이 했는데 맛은 괜찮은데 수요미식회에 나올 정도인가는 개인차가 있어서 그렇겠지만 좀 그랬네요. 하지만 수요 미식회 아니면 맛있는 비빔국수는 맞는거 같아요. 그리고 김치만두를 먹고 싶었는데 동절기만 판매한다고 하시네요. 3월 중순까지만 판매가 되니 참고들 하세요.북촌에 가시면 깡통만두 꼭 들러보세요. 전골도 많이들 주문하시네요. 만두는 떨어져도 전과 주류등 안주는 드실 수 있으니 이 점도 참고하세요~",2022-4-10,북촌에 지인 결혼식에 참석하고 한옥마을 구경하고 이쁜 카페들과 가게들 둘러봤네요 출출해진 배를 채울 시간이 되었는데 오후가 되니 날이 쌀쌀해져서 뜨끈한 국물이 땡겨 찾은곳 깡통만두 입니다 이미 맛집으로 유명한 곳이라 대기 36팀 걸리네요 장장 1시간 30분을 기다리고 먹을 수 있었는데 저희가 대기하는 중 만두가 소진되더라구요 다행히 저희는 만두를 먹을 수 있었습니다만두국 완전 맛있어요 사골 국물과 만두 별게 들어가지 않았지만 조화가 너무 좋아요 만두가 메인인지라 손만두집 중 단연 베스트 3에 들어갈 정도로 담백하고 소도 꽉 차있어 식감도 좋고 간도 잘 맞고 공장만두 특유의 맛이 나지 않는 진짜 손만두 그 자체입니다 비빔국수는 기대를 많이 했는데 맛은 괜찮은데 수요미식회에 나올 정도인가는 개인차가 있어서 그렇겠지만 좀 그랬네요 하지만 수요 미식회 아니면 맛있는 비빔국수는 맞는거 같아요 그리고 김치만두를 먹고 싶었는데 동절기만 판매한다고 하시네요 3월 중순까지만 판매가 되니 참고들 하세요북촌에 가시면 깡통만두 꼭 들러보세요 전골도 많이들 주문하시네요 만두는 떨어져도 전과 주류등 안주는 드실 수 있으니 이 점도 참고하세요,"['1시간' '1시간 30분을' '30분을' '30분을 기다리고' '36팀' '36팀 걸리네요' '3에' '3에 들어갈' '3월'
 '3월 중순까지만' '가게들' '가게들 둘러봤네요' '가시면' '가시면 깡통만두' '간도' '간도 맞고' '같아요'
 '같아요 그리고' '개인차가' '개인차가 있어서' '걸리네요' '걸리네요 장장' '결혼식에' '결혼식에 참석하고' '곳이라'
 '곳이라 대기' '공장만두' '공장만두 특유의' '괜찮은데' '괜찮은데 수요미식회에' '구경하고' '구경하고 이쁜' '국물과'
 '국물과 만두' '국물이' '국물이 땡겨' '그랬네요' '그랬네요 하지만' '그렇겠지만' '그렇겠지만 그랬네요' '그리고'
 '그리고 김치만두를' '기다리고' '기다리고 먹을' '기대를' '기대를 많이' '김치만두를' '김치만두를 먹고' '깡통만두'
 '깡통만두 들러보세요' '깡통만두 입니다' '나올' '나올 정도인가는' '나지' '나지 않는' '날이' '날이 쌀쌀해져서' '너무'
 '너무 좋아요' '다행히' '다행히 저희는' '단연' '단연 베스트' '담백하고' '담백하고 소도' '대기' '대기 36팀'
 '대기하는' '대기하는 만두가' '동절기만' '동절기만 판매한다고' '되니' '되니 날이' '되니 참고들' '되었는데'
 '되었는데 오후가' '둘러봤네요' '둘러봤네요 출출해진' '드실' '드실 있으니' '들러보세요' '들러보세요 전골도' '들어가지'
 '들어가지 않았지만' '들어갈' '들어갈 정도로' '땡겨' '땡겨 찾은곳' '떨어져도' '떨어져도 전과' '뜨끈한'
 '뜨끈한 국물이' '만두' '만두 별게' '만두가' '만두가 메인인지라' '만두가 소진되더라구요' '만두는' '만두는 떨어져도'
 '만두를' '만두를 먹을' '많이' '많이 했는데' '많이들' '많이들 주문하시네요' '맛은' '맛은 괜찮은데' '맛이'
 '맛이 나지' '맛있는' '맛있는 비빔국수는' '맛있어요' '맛있어요 사골' '맛집으로' '맛집으로 유명한' '맞고'
 '맞고 공장만두' '맞는거' '맞는거 같아요' '먹고' '먹고 싶었는데' '먹을' '먹을 있었는데' '먹을 있었습니다만두국'
 '메인인지라' '메인인지라 손만두집' '미식회' '미식회 아니면' '배를' '배를 채울' '베스트' '베스트 3에' '별게'
 '별게 들어가지' '북촌에' '북촌에 지인' '비빔국수는' '비빔국수는 기대를' '비빔국수는 맞는거' '사골' '사골 국물과'
 '소도' '소도 차있어' '소진되더라구요' '소진되더라구요 다행히' '손만두' '손만두 자체입니다' '손만두집' '손만두집 단연'
 '수요' '수요 미식회' '수요미식회에' '수요미식회에 나올' '시간이' '시간이 되었는데' '식감도' '식감도 좋고' '싶었는데'
 '싶었는데 동절기만' '쌀쌀해져서' '쌀쌀해져서 뜨끈한' '아니면' '아니면 맛있는' '안주는' '안주는 드실' '않는'
 '않는 진짜' '않았지만' '않았지만 조화가' '오후가' '오후가 되니' '완전' '완전 맛있어요' '유명한' '유명한 곳이라'
 '이미' '이미 맛집으로' '이쁜' '이쁜 카페들과' '입니다' '입니다 이미' '있어서' '있어서 그렇겠지만' '있었는데'
 '있었는데 저희가' '있었습니다만두국' '있었습니다만두국 완전' '있으니' '있으니 점도' '자체입니다' '자체입니다 비빔국수는'
 '장장' '장장 1시간' '저희가' '저희가 대기하는' '저희는' '저희는 만두를' '전골도' '전골도 많이들' '전과'
 '전과 주류등' '점도' '점도 참고하세요' '정도로' '정도로 담백하고' '정도인가는' '정도인가는 개인차가' '조화가'
 '조화가 너무' '좋고' '좋고 간도' '좋아요' '좋아요 만두가' '주류등' '주류등 안주는' '주문하시네요'
 '주문하시네요 만두는' '중순까지만' '중순까지만 판매가' '지인' '지인 결혼식에' '진짜' '진짜 손만두' '차있어'
 '차있어 식감도' '참고들' '참고들 하세요북촌에' '참고하세요' '참석하고' '참석하고 한옥마을' '찾은곳' '찾은곳 깡통만두'
 '채울' '채울 시간이' '출출해진' '출출해진 배를' '카페들과' '카페들과 가게들' '특유의' '특유의 맛이' '판매가'
 '판매가 되니' '판매한다고' '판매한다고 하시네요' '하세요북촌에' '하세요북촌에 가시면' '하시네요' '하시네요 3월'
 '하지만' '하지만 수요' '한옥마을' '한옥마을 구경하고' '했는데' '했는데 맛은']","['이쁜 카페들과', '30분을', '장장 1시간', '30분을 기다리고', '1시간 30분을']"
20592276,깡통만두,깡통만두,분주하지만 친절하셔서 좋았고혼밥석도 있음양 엄청 많고 만두가 속이 알차다!!,2023-2-24,분주하지만 친절하셔서 좋았고혼밥석도 있음양 엄청 많고 만두가 속이 알차다,"['만두가' '만두가 속이' '많고' '많고 만두가' '분주하지만' '분주하지만 친절하셔서' '속이' '속이 알차다' '알차다'
 '엄청' '엄청 많고' '있음양' '있음양 엄청' '좋았고혼밥석도' '좋았고혼밥석도 있음양' '친절하셔서'
 '친절하셔서 좋았고혼밥석도']","['좋았고혼밥석도', '많고 만두가', '좋았고혼밥석도 있음양', '분주하지만 친절하셔서', '친절하셔서 좋았고혼밥석도']"
20592276,깡통만두,깡통만두,안국에 위치한 만두집. 수요미식회에 나온 유명한 곳이라 대기가 있는 편. 만두전골은 육수가 부족하면 계속 부어주시고 반찬 김치들 또한 짜지않고 맛있어요! 만두도 맛있고 전골도 다 맛있었어요,2022-6-20,안국에 위치한 만두집 수요미식회에 나온 유명한 곳이라 대기가 있는 편 만두전골은 육수가 부족하면 계속 부어주시고 반찬 김치들 또한 짜지않고 맛있어요 만두도 맛있고 전골도 다 맛있었어요,"['계속' '계속 부어주시고' '곳이라' '곳이라 대기가' '김치들' '김치들 또한' '나온' '나온 유명한' '대기가'
 '대기가 있는' '또한' '또한 짜지않고' '만두도' '만두도 맛있고' '만두전골은' '만두전골은 육수가' '만두집'
 '만두집 수요미식회에' '맛있고' '맛있고 전골도' '맛있어요' '맛있어요 만두도' '맛있었어요' '반찬' '반찬 김치들'
 '부어주시고' '부어주시고 반찬' '부족하면' '부족하면 계속' '수요미식회에' '수요미식회에 나온' '안국에' '안국에 위치한'
 '위치한' '위치한 만두집' '유명한' '유명한 곳이라' '육수가' '육수가 부족하면' '있는' '있는 만두전골은' '전골도'
 '전골도 맛있었어요' '짜지않고' '짜지않고 맛있어요']","['반찬 김치들', '짜지않고 맛있어요', '전골도 맛있었어요', '만두도 맛있고', '맛있고 전골도']"
20592276,깡통만두,깡통만두,만두 속이 꽉 차있고 자극적이지 않은 맛이라 부모님과 오기 좋은 곳,2023-1-18,만두 속이 꽉 차있고 자극적이지 않은 맛이라 부모님과 오기 좋은 곳,"['만두' '만두 속이' '맛이라' '맛이라 부모님과' '부모님과' '부모님과 오기' '속이' '속이 차있고' '않은'
 '않은 맛이라' '오기' '오기 좋은' '자극적이지' '자극적이지 않은' '좋은' '차있고' '차있고 자극적이지']","['않은 맛이라', '차있고 자극적이지', '부모님과', '맛이라 부모님과', '부모님과 오기']"
20592276,깡통만두,깡통만두,"경복궁 근처에 있는 만두 맛집으로 소문난 깡통만두 길이 찾기 어려워서 가기 전에 왼쪽에 돈가스집 오른쪽에 카페가 있는 골목으로 들어가야한다는걸 미리 알고 가면 좋다. 브레이크 타임은 3시부터 5시까지이고 가면 키오스크로 미리 먹고 싶은 메뉴를 성인 아이 몇명인지와 함께 선택하여 스마트폰 번호로 주문하고 문자를 받고 오는 시스템이라 편리했다. 주차는 어려운 편이라 걸어오거나 대중교통을 이용하는 편이 나음. 만두는 특이하게 개성식으로 만든 만두인데 한 입 베어먹을 때 육즙이 나오면서 씹히는 식감도 좋았고 부드러웠다. 속도 꽉 차서 전혀 적지 않다. 세트로 시키면 왕만두 3개, 육전이 올라간 비빔국수, 사골국물, 파김치, 양파간장절임, 김치 이렇게 알차게 나온다 비빔국수 면은 특이하게 칼국수 면이고 비빔칼국수 느낌이라 이런 느낌을 좋아하는 사람들이 좋아할것 같다. 고명도 많이 올라가 있고 육전도 비리지 않고 세트로 시키면 아주 배부르게 먹을 수 있다. 만두가 맛있고 국수는 호불호가 갈릴 수 있겠지만 정성스럽게 만든 느낌이라 좋았다.",2021-9-29,경복궁 근처에 있는 만두 맛집으로 소문난 깡통만두 길이 찾기 어려워서 가기 전에 왼쪽에 돈가스집 오른쪽에 카페가 있는 골목으로 들어가야한다는걸 미리 알고 가면 좋다 브레이크 타임은 3시부터 5시까지이고 가면 키오스크로 미리 먹고 싶은 메뉴를 성인 아이 몇명인지와 함께 선택하여 스마트폰 번호로 주문하고 문자를 받고 오는 시스템이라 편리했다 주차는 어려운 편이라 걸어오거나 대중교통을 이용하는 편이 나음 만두는 특이하게 개성식으로 만든 만두인데 한 입 베어먹을 때 육즙이 나오면서 씹히는 식감도 좋았고 부드러웠다 속도 꽉 차서 전혀 적지 않다 세트로 시키면 왕만두 3개 육전이 올라간 비빔국수 사골국물 파김치 양파간장절임 김치 이렇게 알차게 나온다 비빔국수 면은 특이하게 칼국수 면이고 비빔칼국수 느낌이라 이런 느낌을 좋아하는 사람들이 좋아할것 같다 고명도 많이 올라가 있고 육전도 비리지 않고 세트로 시키면 아주 배부르게 먹을 수 있다 만두가 맛있고 국수는 호불호가 갈릴 수 있겠지만 정성스럽게 만든 느낌이라 좋았다,"['3개' '3개 육전이' '3시부터' '3시부터 5시까지이고' '5시까지이고' '5시까지이고 가면' '가기' '가기 전에' '가면'
 '가면 좋다' '가면 키오스크로' '갈릴' '갈릴 있겠지만' '같다' '같다 고명도' '개성식으로' '개성식으로 만든'
 '걸어오거나' '걸어오거나 대중교통을' '경복궁' '경복궁 근처에' '고명도' '고명도 많이' '골목으로'
 '골목으로 들어가야한다는걸' '국수는' '국수는 호불호가' '근처에' '근처에 있는' '길이' '길이 찾기' '김치'
 '김치 이렇게' '깡통만두' '깡통만두 길이' '나오면서' '나오면서 씹히는' '나온다' '나온다 비빔국수' '나음'
 '나음 만두는' '느낌을' '느낌을 좋아하는' '느낌이라' '느낌이라 이런' '느낌이라 좋았다' '대중교통을'
 '대중교통을 이용하는' '돈가스집' '돈가스집 오른쪽에' '들어가야한다는걸' '들어가야한다는걸 미리' '만두' '만두 맛집으로'
 '만두가' '만두가 맛있고' '만두는' '만두는 특이하게' '만두인데' '만두인데 베어먹을' '만든' '만든 느낌이라'
 '만든 만두인데' '많이' '많이 올라가' '맛있고' '맛있고 국수는' '맛집으로' '맛집으로 소문난' '먹고' '먹고 싶은'
 '먹을' '먹을 있다' '메뉴를' '메뉴를 성인' '면은' '면은 특이하게' '면이고' '면이고 비빔칼국수' '몇명인지와'
 '몇명인지와 함께' '문자를' '문자를 받고' '미리' '미리 먹고' '미리 알고' '받고' '받고 오는' '배부르게'
 '배부르게 먹을' '번호로' '번호로 주문하고' '베어먹을' '베어먹을 육즙이' '부드러웠다' '부드러웠다 속도' '브레이크'
 '브레이크 타임은' '비리지' '비리지 않고' '비빔국수' '비빔국수 면은' '비빔국수 사골국물' '비빔칼국수'
 '비빔칼국수 느낌이라' '사골국물' '사골국물 파김치' '사람들이' '사람들이 좋아할것' '선택하여' '선택하여 스마트폰' '성인'
 '성인 아이' '세트로' '세트로 시키면' '소문난' '소문난 깡통만두' '속도' '속도 차서' '스마트폰' '스마트폰 번호로'
 '시스템이라' '시스템이라 편리했다' '시키면' '시키면 아주' '시키면 왕만두' '식감도' '식감도 좋았고' '싶은'
 '싶은 메뉴를' '씹히는' '씹히는 식감도' '아이' '아이 몇명인지와' '아주' '아주 배부르게' '않고' '않고 세트로'
 '않다' '않다 세트로' '알고' '알고 가면' '알차게' '알차게 나온다' '양파간장절임' '양파간장절임 김치' '어려운'
 '어려운 편이라' '어려워서' '어려워서 가기' '오는' '오는 시스템이라' '오른쪽에' '오른쪽에 카페가' '올라가'
 '올라가 있고' '올라간' '올라간 비빔국수' '왕만두' '왕만두 3개' '왼쪽에' '왼쪽에 돈가스집' '육전도' '육전도 비리지'
 '육전이' '육전이 올라간' '육즙이' '육즙이 나오면서' '이런' '이런 느낌을' '이렇게' '이렇게 알차게' '이용하는'
 '이용하는 편이' '있겠지만' '있겠지만 정성스럽게' '있고' '있고 육전도' '있는' '있는 골목으로' '있는 만두' '있다'
 '있다 만두가' '적지' '적지 않다' '전에' '전에 왼쪽에' '전혀' '전혀 적지' '정성스럽게' '정성스럽게 만든' '좋다'
 '좋다 브레이크' '좋아하는' '좋아하는 사람들이' '좋아할것' '좋아할것 같다' '좋았고' '좋았고 부드러웠다' '좋았다'
 '주문하고' '주문하고 문자를' '주차는' '주차는 어려운' '차서' '차서 전혀' '찾기' '찾기 어려워서' '카페가'
 '카페가 있는' '칼국수' '칼국수 면이고' '키오스크로' '키오스크로 미리' '타임은' '타임은 3시부터' '특이하게'
 '특이하게 개성식으로' '특이하게 칼국수' '파김치' '파김치 양파간장절임' '편리했다' '편리했다 주차는' '편이' '편이 나음'
 '편이라' '편이라 걸어오거나' '함께' '함께 선택하여' '호불호가' '호불호가 갈릴']","['3시부터 5시까지이고', '스마트폰 번호로', '선택하여 스마트폰', '카페가 있는', '오른쪽에 카페가']"
