상가업소번호,가게명,키워드,갯수
3301,정육면체,11000원,1
3301,정육면체,11000원 깨부수면,1
3301,정육면체,11000원 깨부수면 13000원개인적인,1
3301,정육면체,13000원,1
3301,정육면체,13000원개인적인,1
3301,정육면체,13000원개인적인 평가 곳 감칠맛,1
3301,정육면체,30분,1
3301,정육면체,30분 안되다,1
3301,정육면체,가깝다,1
3301,정육면체,가깝다 다웨이팅,1
3301,정육면체,가깝다 다웨이팅 식사,1
3301,정육면체,가능,1
3301,정육면체,가다 쏘다 쏘다 고함,1
3301,정육면체,가성비,1
3301,정육면체,가성비 좋다,1
3301,정육면체,가장 기억,1
3301,정육면체,감칠맛,1
3301,정육면체,감칠맛 돈 다,1
3301,정육면체,강렬하다,1
3301,정육면체,강렬하다 맛,1
3301,정육면체,강하다,2
3301,정육면체,개인적 고소하다,1
3301,정육면체,거 먹다,1
3301,정육면체,거 화쟈오,1
3301,정육면체,견과류 넣다,1
3301,정육면체,곁들이다 땅콩 곳 에서도,1
3301,정육면체,고소하다,2
3301,정육면체,고소하다 맛,1
3301,정육면체,고소하다 초유 린기,1
3301,정육면체,고소하다 퓨전 느낌 랄 끄다,1
3301,정육면체,고추기름 고추기름 놓다,1
3301,정육면체,기대,2
3301,정육면체,깨부수다,4
3301,정육면체,느낌,2
3301,정육면체,땅콩,2
3301,정육면체,마르다,2
3301,정육면체,맛,3
3301,정육면체,맛있다,3
3301,정육면체,맛집,2
3301,정육면체,면,1
3301,정육면체,번,2
3301,정육면체,뻑뻑,2
3301,정육면체,소스,1
3301,정육면체,웨이,2
3301,정육면체,탄탄면,3
3301,정육면체,향,2
3301,정육면체,홍,2
3305,또보겠지떡볶이집 신촌히어로점,갈릭,7
3305,또보겠지떡볶이집 신촌히어로점,감자,6
3305,또보겠지떡볶이집 신촌히어로점,감자튀김,3
3305,또보겠지떡볶이집 신촌히어로점,굿굿굿,3
3305,또보겠지떡볶이집 신촌히어로점,기분좋다,4
3305,또보겠지떡볶이집 신촌히어로점,날치,3
3305,또보겠지떡볶이집 신촌히어로점,날치알볶음밥,2
3305,또보겠지떡볶이집 신촌히어로점,떡볶이,16
3305,또보겠지떡볶이집 신촌히어로점,또떡,4
3305,또보겠지떡볶이집 신촌히어로점,맛,6
