상가업소번호,가게명,키워드,갯수,행정동,업종
MA010120220811888332,힘이나는커피생활 성수3호점,커피,20.0,성수2가제1동,카페
MA010120220811888332,힘이나는커피생활 성수3호점,맛있는,19.0,성수2가제1동,카페
MA010120220811888332,힘이나는커피생활 성수3호점,가성비,11.0,성수2가제1동,카페
MA010120220811888332,힘이나는커피생활 성수3호점,친절한,10.0,성수2가제1동,카페
MA010120220811888332,힘이나는커피생활 성수3호점,음료,7.0,성수2가제1동,카페
MA010120220811888332,힘이나는커피생활 성수3호점,저렴한,6.0,성수2가제1동,카페
MA010120220811888332,힘이나는커피생활 성수3호점,아메리카노,5.0,성수2가제1동,카페
MA010120220811888332,힘이나는커피생활 성수3호점,가성비 커피,4.0,성수2가제1동,카페
MA010120220811888332,힘이나는커피생활 성수3호점,가성비 좋은,3.0,성수2가제1동,카페
MA010120220811888332,힘이나는커피생활 성수3호점,라떼,2.0,성수2가제1동,카페
MA010120220804201549,힘이나는커피생활 성수2호점,맛있는,38.0,성수2가제1동,카페
MA010120220804201549,힘이나는커피생활 성수2호점,커피,36.0,성수2가제1동,카페
MA010120220804201549,힘이나는커피생활 성수2호점,가성비,24.0,성수2가제1동,카페
MA010120220804201549,힘이나는커피생활 성수2호점,친절한,10.0,성수2가제1동,카페
MA010120220804201549,힘이나는커피생활 성수2호점,저렴한,10.0,성수2가제1동,카페
MA010120220804201549,힘이나는커피생활 성수2호점,맛있는 커피,9.0,성수2가제1동,카페
MA010120220804201549,힘이나는커피생활 성수2호점,음료,8.0,성수2가제1동,카페
MA010120220804201549,힘이나는커피생활 성수2호점,가성비 좋은,5.0,성수2가제1동,카페
MA010120220804201549,힘이나는커피생활 성수2호점,점심,5.0,성수2가제1동,카페
MA010120220804201549,힘이나는커피생활 성수2호점,친절한 직원들,4.0,성수2가제1동,카페
MA010120220804204344,힘냉면록,맛있는,29.0,성수1가제2동,한식
MA010120220804204344,힘냉면록,냉면,5.0,성수1가제2동,한식
MA010120220804204344,힘냉면록,친절한,4.0,성수1가제2동,한식
MA010120220804204344,힘냉면록,깨끗한,3.0,성수1가제2동,한식
MA010120220804204344,힘냉면록,만두,3.0,성수1가제2동,한식
MA010120220804204344,힘냉면록,맛있게 먹다,3.0,성수1가제2동,한식
MA010120220804204344,힘냉면록,물냉면,3.0,성수1가제2동,한식
MA010120220804204344,힘냉면록,버섯,3.0,성수1가제2동,한식
MA010120220804204344,힘냉면록,혼밥,2.0,성수1가제2동,한식
MA010120220804204344,힘냉면록,버섯 만두탕,2.0,성수1가제2동,한식
MA010120220814395136,히즈빈스 성수점,맛있는,35.0,성수1가제1동,카페
MA010120220814395136,히즈빈스 성수점,커피,30.0,성수1가제1동,카페
MA010120220814395136,히즈빈스 성수점,넓다,10.0,성수1가제1동,카페
MA010120220814395136,히즈빈스 성수점,콜드 브루,8.0,성수1가제1동,카페
MA010120220814395136,히즈빈스 성수점,조용한,8.0,성수1가제1동,카페
MA010120220814395136,히즈빈스 성수점,맛있는 커피,7.0,성수1가제1동,카페
MA010120220814395136,히즈빈스 성수점,쿠키,6.0,성수1가제1동,카페
MA010120220814395136,히즈빈스 성수점,분위기,6.0,성수1가제1동,카페
MA010120220814395136,히즈빈스 성수점,음료,6.0,성수1가제1동,카페
MA010120220814395136,히즈빈스 성수점,집중,4.0,성수1가제1동,카페
MA010120220812896442,희정보감족,맛있는,22.0,성수1가제2동,한식
MA010120220812896442,희정보감족,고기,4.0,성수1가제2동,한식
MA010120220812896442,희정보감족,친절한,4.0,성수1가제2동,한식
MA010120220812896442,희정보감족,보쌈,4.0,성수1가제2동,한식
MA010120220812896442,희정보감족,정식,3.0,성수1가제2동,한식
MA010120220812896442,희정보감족,점심시간,2.0,성수1가제2동,한식
MA010120220812896442,희정보감족,점심,2.0,성수1가제2동,한식
MA010120220812896442,희정보감족,부드러운,2.0,성수1가제2동,한식
MA010120220812896442,희정보감족,깨끗한,2.0,성수1가제2동,한식
MA010120220812896442,희정보감족,건강하다,2.0,성수1가제2동,한식
MA010120220806600844,희릿,맛있는,87.0,성수1가제1동,주점
MA010120220806600844,희릿,웰링턴,22.0,성수1가제1동,주점
MA010120220806600844,희릿,예약,20.0,성수1가제1동,주점
MA010120220806600844,희릿,비프,18.0,성수1가제1동,주점
MA010120220806600844,희릿,와인,18.0,성수1가제1동,주점
MA010120220806600844,희릿,분위기,18.0,성수1가제1동,주점
MA010120220806600844,희릿,뇨끼,12.0,성수1가제1동,주점
MA010120220806600844,희릿,파스타,12.0,성수1가제1동,주점
MA010120220806600844,희릿,친절한,11.0,성수1가제1동,주점
MA010120220806600844,희릿,튀김,9.0,성수1가제1동,주점
MA010120220812366544,희 사블레,사블레,10.0,가회동,카페
MA010120220812366544,희 사블레,귀여운,5.0,가회동,카페
MA010120220812366544,희 사블레,맛있는,5.0,가회동,카페
MA010120220812366544,희 사블레,사장님,5.0,가회동,카페
MA010120220812366544,희 사블레,포장,4.0,가회동,카페
MA010120220812366544,희 사블레,코코넛,4.0,가회동,카페
MA010120220812366544,희 사블레,치즈,4.0,가회동,카페
MA010120220812366544,희 사블레,초코,4.0,가회동,카페
MA010120220812366544,희 사블레,인테리어,4.0,가회동,카페
MA010120220812366544,희 사블레,버터,4.0,가회동,카페
MA010120220808459729,흙과나무,맛있는,12.0,성수2가제1동,주점
MA010120220808459729,흙과나무,막걸리,3.0,성수2가제1동,주점
MA010120220808459729,흙과나무,돈가스,3.0,성수2가제1동,주점
MA010120220808459729,흙과나무,맛있는 돈가스 파전,3.0,성수2가제1동,주점
MA010120220808459729,흙과나무,맛있는 음식,3.0,성수2가제1동,주점
MA010120220808459729,흙과나무,파전,3.0,성수2가제1동,주점
MA010120220808459729,흙과나무,대화,2.0,성수2가제1동,주점
MA010120220808459729,흙과나무,대화하기 좋은,2.0,성수2가제1동,주점
MA010120220808459729,흙과나무,떡볶이,2.0,성수2가제1동,주점
MA010120220808459729,흙과나무,친절한,2.0,성수2가제1동,주점
MA010120220812150643,훼미리손칼국수보쌈,맛있는,124.0,성수1가제2동,한식
MA010120220812150643,훼미리손칼국수보쌈,칼국수,55.0,성수1가제2동,한식
MA010120220812150643,훼미리손칼국수보쌈,보쌈,51.0,성수1가제2동,한식
MA010120220812150643,훼미리손칼국수보쌈,김치,33.0,성수1가제2동,한식
MA010120220812150643,훼미리손칼국수보쌈,정식,26.0,성수1가제2동,한식
MA010120220812150643,훼미리손칼국수보쌈,친절한,20.0,성수1가제2동,한식
MA010120220812150643,훼미리손칼국수보쌈,고기,18.0,성수1가제2동,한식
MA010120220812150643,훼미리손칼국수보쌈,수육,13.0,성수1가제2동,한식
MA010120220812150643,훼미리손칼국수보쌈,감자전,11.0,성수1가제2동,한식
MA010120220812150643,훼미리손칼국수보쌈,맛집,11.0,성수1가제2동,한식
MA010120220806684244,훔볼트,맛있는,95.0,성수2가제1동,카페
MA010120220806684244,훔볼트,커피,51.0,성수2가제1동,카페
MA010120220806684244,훔볼트,디저트,31.0,성수2가제1동,카페
MA010120220806684244,훔볼트,넓다,24.0,성수2가제1동,카페
MA010120220806684244,훔볼트,케이크,19.0,성수2가제1동,카페
MA010120220806684244,훔볼트,빵,17.0,성수2가제1동,카페
MA010120220806684244,훔볼트,음료,16.0,성수2가제1동,카페
MA010120220806684244,훔볼트,분위기,10.0,성수2가제1동,카페
MA010120220806684244,훔볼트,맛있는 커피,10.0,성수2가제1동,카페
MA010120220806684244,훔볼트,깨끗한,8.0,성수2가제1동,카페
MA010120220811954526,훈연,맛있는,89.0,성수1가제2동,일식
MA010120220811954526,훈연,카이센동,26.0,성수1가제2동,일식
MA010120220811954526,훈연,우나기동,13.0,성수1가제2동,일식
MA010120220811954526,훈연,장어,13.0,성수1가제2동,일식
MA010120220811954526,훈연,친절한,11.0,성수1가제2동,일식
MA010120220811954526,훈연,맛있게 먹다,10.0,성수1가제2동,일식
MA010120220811954526,훈연,기다리다,10.0,성수1가제2동,일식
MA010120220811954526,훈연,비싼,9.0,성수1가제2동,일식
MA010120220811954526,훈연,맛집,9.0,성수1가제2동,일식
MA010120220811954526,훈연,신선한,9.0,성수1가제2동,일식
MA010120220800458812,후프커피,커피,15.0,성수1가제1동,카페
MA010120220800458812,후프커피,맛있는,11.0,성수1가제1동,카페
MA010120220800458812,후프커피,버터,6.0,성수1가제1동,카페
MA010120220800458812,후프커피,바,6.0,성수1가제1동,카페
MA010120220800458812,후프커피,후프,6.0,성수1가제1동,카페
MA010120220800458812,후프커피,친절한,4.0,성수1가제1동,카페
MA010120220800458812,후프커피,맛있는 커피,3.0,성수1가제1동,카페
MA010120220800458812,후프커피,테이크아웃,2.0,성수1가제1동,카페
MA010120220800458812,후프커피,라떼,2.0,성수1가제1동,카페
MA010120220800458812,후프커피,맛집,2.0,성수1가제1동,카페
1112,후스테이블,피자,12.0,가회동,서양식
1112,후스테이블,맛집,7.0,가회동,서양식
1112,후스테이블,맛있는,5.0,가회동,서양식
1112,후스테이블,인테리어,4.0,가회동,서양식
1112,후스테이블,적당한,4.0,가회동,서양식
1112,후스테이블,파스타,4.0,가회동,서양식
1112,후스테이블,매운,3.0,가회동,서양식
1112,후스테이블,크림,3.0,가회동,서양식
1112,후스테이블,작은,3.0,가회동,서양식
1112,후스테이블,가성비,2.0,가회동,서양식
MA010120220806706775,후라토식당 성수점,맛있는,199.0,성수2가제3동,일식
MA010120220806706775,후라토식당 성수점,규카츠,74.0,성수2가제3동,일식
MA010120220806706775,후라토식당 성수점,카츠,73.0,성수2가제3동,일식
MA010120220806706775,후라토식당 성수점,친절한,32.0,성수2가제3동,일식
MA010120220806706775,후라토식당 성수점,오므라이스,27.0,성수2가제3동,일식
MA010120220806706775,후라토식당 성수점,고기,25.0,성수2가제3동,일식
MA010120220806706775,후라토식당 성수점,부드러운,22.0,성수2가제3동,일식
MA010120220806706775,후라토식당 성수점,예약,20.0,성수2가제3동,일식
MA010120220806706775,후라토식당 성수점,맛있게 먹다,15.0,성수2가제3동,일식
MA010120220806706775,후라토식당 성수점,맛있는 규카츠,14.0,성수2가제3동,일식
MA010120220809962228,후라이드참잘하는집 성수점,맛있는,36.0,성수1가제1동,패스트푸드
MA010120220809962228,후라이드참잘하는집 성수점,후라이드,11.0,성수1가제1동,패스트푸드
MA010120220809962228,후라이드참잘하는집 성수점,치킨,8.0,성수1가제1동,패스트푸드
MA010120220809962228,후라이드참잘하는집 성수점,가성비,7.0,성수1가제1동,패스트푸드
MA010120220809962228,후라이드참잘하는집 성수점,포장,5.0,성수1가제1동,패스트푸드
MA010120220809962228,후라이드참잘하는집 성수점,가성비 좋은,4.0,성수1가제1동,패스트푸드
MA010120220809962228,후라이드참잘하는집 성수점,저렴한,4.0,성수1가제1동,패스트푸드
MA010120220809962228,후라이드참잘하는집 성수점,양념,3.0,성수1가제1동,패스트푸드
MA010120220809962228,후라이드참잘하는집 성수점,맛있는 치킨,3.0,성수1가제1동,패스트푸드
MA010120220809962228,후라이드참잘하는집 성수점,맛있게 먹다,3.0,성수1가제1동,패스트푸드
MA010120220803764741,후다닭Q 본점,맛있는,17.0,성수1가제1동,주점
MA010120220803764741,후다닭Q 본점,치킨,10.0,성수1가제1동,주점
MA010120220803764741,후다닭Q 본점,골뱅이,4.0,성수1가제1동,주점
MA010120220803764741,후다닭Q 본점,단체 모임,3.0,성수1가제1동,주점
MA010120220803764741,후다닭Q 본점,감자,3.0,성수1가제1동,주점
